depth,freq,var,no_var
50.0,0.01,,
50.0,0.02,,
50.0,0.03,,
50.0,0.04,,
50.0,0.05,,
50.0,0.1,6.0,52.0
50.0,0.2,12.0,46.0
50.0,0.3,17.0,41.0
50.0,0.4,23.0,35.0
50.0,0.5,29.0,29.0
100.0,0.01,,
100.0,0.02,,
100.0,0.03,,
100.0,0.04,,
100.0,0.05,6.0,111.0
100.0,0.1,12.0,105.0
100.0,0.2,23.0,94.0
100.0,0.3,35.0,82.0
100.0,0.4,47.0,70.0
100.0,0.5,58.0,59.0
200.0,0.01,,
200.0,0.02,,
200.0,0.03,7.0,227.0
200.0,0.04,9.0,225.0
200.0,0.05,12.0,222.0
200.0,0.1,23.0,211.0
200.0,0.2,47.0,187.0
200.0,0.3,70.0,164.0
200.0,0.4,94.0,140.0
200.0,0.5,117.0,117.0
400.0,0.01,,
400.0,0.02,9.0,459.0
400.0,0.03,14.0,454.0
400.0,0.04,19.0,449.0
400.0,0.05,23.0,445.0
400.0,0.1,47.0,421.0
400.0,0.2,94.0,374.0
400.0,0.3,140.0,328.0
400.0,0.4,187.0,281.0
400.0,0.5,234.0,234.0
700.0,0.01,8.0,811.0
700.0,0.02,16.0,803.0
700.0,0.03,25.0,794.0
700.0,0.04,33.0,786.0
700.0,0.05,41.0,778.0
700.0,0.1,82.0,737.0
700.0,0.2,164.0,655.0
700.0,0.3,246.0,573.0
700.0,0.4,328.0,491.0
700.0,0.5,410.0,409.0
