depth,freq,var,no_var
50.0,0.01,1.0,57.0
50.0,0.02,1.0,57.0
50.0,0.03,2.0,56.0
50.0,0.04,2.0,56.0
50.0,0.05,3.0,55.0
50.0,0.1,,
50.0,0.2,,
50.0,0.3,,
50.0,0.4,,
50.0,0.5,,
100.0,0.01,1.0,116.0
100.0,0.02,2.0,115.0
100.0,0.03,4.0,113.0
100.0,0.04,5.0,112.0
100.0,0.05,,
100.0,0.1,,
100.0,0.2,,
100.0,0.3,,
100.0,0.4,,
100.0,0.5,,
200.0,0.01,2.0,232.0
200.0,0.02,5.0,229.0
200.0,0.03,,
200.0,0.04,,
200.0,0.05,,
200.0,0.1,,
200.0,0.2,,
200.0,0.3,,
200.0,0.4,,
200.0,0.5,,
400.0,0.01,5.0,463.0
400.0,0.02,,
400.0,0.03,,
400.0,0.04,,
400.0,0.05,,
400.0,0.1,,
400.0,0.2,,
400.0,0.3,,
400.0,0.4,,
400.0,0.5,,
700.0,0.01,,
700.0,0.02,,
700.0,0.03,,
700.0,0.04,,
700.0,0.05,,
700.0,0.1,,
700.0,0.2,,
700.0,0.3,,
700.0,0.4,,
700.0,0.5,,
